Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Physical limitation,Tags
90/90 Hip Switch,60+,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-12,7-6,30-45 sec,Improves lateral core strength and trunk flexion control,"1. Lie on your back with hips and knees bent to 90 degrees and shins parallel to the floor.
2. Keep your shoulders on the ground and brace your core.
3. Lower both knees to one side until you feel a hip stretch, then return to center.
4. Lower both knees to the opposite side and continue alternating.","Brace your core, keep ribs down and crunch from the waist",3,,Hip stiffness / limited hip mobility,
Standing Quad Stretch,All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,3,12-8,7-6,30-45 sec,Increases hip internal and external rotation mobility and coordination,"1. Stand tall and shift weight onto one leg.
2. Bend the opposite knee and reach back to grasp the ankle with the same-side hand.
3. Pull the ankle toward your glutes while keeping knees close and hips level.
4. Hold briefly, then release and switch sides.",Press lower back gently into the mat and rotate from the hips,2.8,,Limited single-leg balance,Cooldown
Grapevine,40-59,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,2,12-10,7-6,30-60 sec,Lengthens quadriceps and supports knee flexion range of motion,"1. Stand tall with feet together and arms relaxed at your sides.
2. Step your right foot to the right and cross your left foot behind it.
3. Step your right foot to the right again and tap your left foot beside it.
4. Reverse the pattern by stepping left, crossing behind, and tapping back in rhythm.","Stand tall, keep ribs down and pull heel toward glute without arching the lower back",4,,Limited single-leg balance,Main workout
Lateral Lunges (Shallow),60+,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,3,20-30,8-6,30-45 sec,Improves lateral coordination and rhythmic movement patterning,"1. Stand tall with feet hip-width apart and hands at your sides.
2. Take a shallow step to the right and bend the right knee while keeping the left leg straight.
3. Push through the right foot to return to center and repeat to the left side.",Maintain an upright chest and step with control while keeping weight even,3.8,,Knee pain (general / chronic),
Hamstring Curls (Standing),All Ages,Weight Loss,Strength,Lower,Bodyweight,Beginner,3,12-8,8-7,45-60 sec,Enhances lateral hip strength and functional step stability,"1. Stand tall with feet hip-width apart and hands on your hips.
2. Bend your right knee and lift your heel toward your glutes while keeping your thighs aligned.
3. Lower your right foot back down with control and repeat on the left leg.","Push hips back, keep the stepping knee tracking over the foot and chest upright",3.5,,Limited single-leg balance,Main workout
World's Greatest Stretch (Modified),40-59,Weight Loss,Flexibility / Stretching,Full,Bodyweight,Beginner,3,15-12,8-7,45-60 sec,Strengthens hamstrings and improves knee joint control during gait,"1. Step into a lunge with your right foot forward and keep the left knee lightly on the ground.
2. Place your left hand on the floor inside your right foot and inhale as you rotate your torso to lift your right arm toward the ceiling.
3. Hold the rotated position for a few breaths while keeping hips square and chest open.
4. Return to center, switch legs, and repeat the same sequence on the other side.",Hinge slightly at the hips and curl the heel toward the glute with control,3,,Thoracic stiffness (upper-back rigidity),Cooldown
Cow Face Arms,60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,3,8-5,7-6,30-45 sec,Promotes thoracic mobility and multi joint movement coordination,"1. Sit or stand tall and reach your right arm overhead, then bend the elbow to drop the hand between your shoulder blades.
2. Reach your left hand behind your back and try to grasp your right hand or fingertips.
3. Gently pull the hands together while keeping your chest lifted and shoulders relaxed.
4. Release and repeat the same steps on the opposite side.",Maintain controlled movement and proper alignment throughout,3,,Limited shoulder range of motion,
Side Leg Lift (Balance),All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,2,10-8,7-6,30-45 sec,Increases shoulder external rotation and upper back flexibility,"1. Stand tall and shift your weight onto your left foot with a slight bend in the standing knee.
2. Engage your core and lift your right leg straight out to the side to about hip height.
3. Hold briefly at the top while keeping your hips level and your torso upright.
4. Lower the leg with control and repeat the same motion on the other side.",Maintain a neutral spine and draw shoulder blades down as you reach hands together,2,,Limited single-leg balance,Main workout
Floor Press (Bridge Position),40-59,Weight Maintenance,Strength,Full,Bodyweight,Beginner,3,15-10,8-6,30-45 sec,Improves hip abductor strength and single leg balance capacity,"1. Lie on your back with knees bent and feet flat hip-width apart.
2. Press hips up into a strong bridge, keeping shoulders and head on the floor.
3. Place palms flat beside your chest and press through hands, extending elbows to lift the chest slightly.
4. Bend elbows to lower the chest while keeping hips elevated; repeat in a controlled rhythm.","Keep the standing knee soft, hips squared and lift the leg slowly with control",2.8,,Lower back pain (non-specific),Main workout
Walking in Place (Wide),60+,Weight Gain,Cardio,Lower,Bodyweight,Beginner,3,12-8,9-7,90-120 sec,Builds chest strength while activating glutes and posterior chain,"1. Stand with feet wider than hip-width and knees soft.
2. Lift the right knee toward your chest while swinging the left arm forward.
3. Place the right foot down and lift the left knee, maintaining a steady marching rhythm.
4. Keep an upright torso and core engaged while increasing pace as comfortable.",Brace your core and keep a neutral spine while pressing the weight,3.5,,Limited single-leg balance,
Standing Hip Circles,All Ages,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,3,40-60,7-6,30-45 sec,Promotes balance and light cardiovascular activity through wide stepping movements,"1. Stand tall with feet shoulder-width apart and hands on your hips.
2. Soften your knees and shift weight slightly to one side.
3. Move your hips in a slow circular motion: forward, out to the side, back, and in.
4. Reverse the circle direction after several rotations and maintain a steady rhythm.",Walk with an upright torso and take controlled short steps,3,,Hip stiffness / limited hip mobility,
Seated Straddle Stretch,40-59,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,2,12-10,7-6,30-45 sec,Enhances hip mobility and joint awareness through controlled circular motion,"1. Sit on the floor and open your legs wide into a comfortable V.
2. Keep your spine tall and hinge forward from the hips with a flat back.
3. Reach your hands toward your feet or the floor and hold the stretch.
4. Slowly return to an upright position and bring your legs together.",Keep a tall spine and move the hip slowly with control,2,,Hip stiffness / limited hip mobility,Cooldown
Standing Good Morning,60+,Weight Gain,Strength,Lower,Bodyweight,Beginner,3,12-8,7-6,30-60 sec,Improves hamstring and inner thigh flexibility and seated range of motion,"1. Stand feet hip-width apart and place your hands behind your head.
2. Soften your knees and hinge at the hips while keeping a straight back.
3. Lower your torso until it's parallel to the floor or you feel a hamstring stretch.
4. Drive your hips forward to return to standing and squeeze your glutes.",Hinge from the hips with a long spine and avoid rounding,4,,Lower back pain (non-specific) | Reduced core stability,Main workout
Frog Pumps,All Ages,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Strengthens posterior chain and reinforces hip hinge mechanics,"1. Lie on your back and bring the soles of your feet together with knees splayed outward.
2. Press your feet together and explosively lift your hips by squeezing your glutes.
3. Lower your hips with control and repeat for the desired reps.",Hinge at the hips with a soft knee bend and maintain a neutral spine,3.8,,Hip stiffness / limited hip mobility,
Heel Digs,40-59,Weight Gain,Cardio,Lower,Bodyweight,Beginner,3,15-20,8-7,45-60 sec,Targets glute activation and hip extension for improved posterior chain engagement,"1. Heel Digs: Stand with feet hip-width apart and knees soft.
2. Shift weight onto one foot and extend the other leg slightly forward with the heel on the floor and toes lifted.
3. Press the extended heel firmly into the ground while pulling the toes up to engage the front lower leg.
4. Return the foot to neutral and repeat on the other side, alternating steadily.",Squeeze your glutes at the top and lower with control to avoid arching the back,3,,Lower back pain (non-specific),
Adductor Rock-Back,60+,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,2,20 sec,7-6,30-45 sec,Promotes ankle mobility and activates lower leg muscles for functional movement,"1. Adductor Rock-Back: Kneel on hands and knees with knees wider than hip-width.
2. Place hands under shoulders and lengthen the spine.
3. Sit your hips back toward your heels until you feel a gentle inner-thigh stretch.
4. Rock forward to return to the starting position and repeat slowly.",Press your lower back into the floor and perform each rep with control,2.8,,Hip stiffness / limited hip mobility,
Sphinx Pose,All Ages,Weight Maintenance,Flexibility / Stretching,Core,Bodyweight,Beginner,3,12-8,7-6,30-45 sec,Stretches adductor muscles and enhances hip mobility through controlled rocking,"1. Sphinx Pose: Lie on your belly with legs extended and tops of your feet resting on the floor.
2. Place forearms on the ground with elbows under shoulders and palms facing down.
3. Press into the forearms and lift your chest while drawing shoulders away from ears.
4. Hold the posture with hips grounded and breathe evenly.",Hinge back from the hips keeping hips level and controlled,2.5,,Thoracic stiffness (upper-back rigidity),
Single Leg Deadlift (Wall Assist),40-59,Weight Maintenance,Strength,Full,Bodyweight,Beginner,3,20-30,7-6,30-60 sec,Encourages gentle spinal extension and anterior torso opening with low intensity,"1. Stand a few inches from a wall and place one fingertip lightly on it for balance.
2. Shift your weight onto one foot and lift the opposite leg straight behind you.
3. Hinge at the hips and lower your torso until it is nearly parallel to the floor while keeping the lifted leg aligned with your body.
4. Push through the standing heel to return to upright and keep a slight bend in the knee.",Lengthen through the spine and breathe steadily while keeping shoulders relaxed,4,"Hypertension, Coronary Artery Disease",Limited single-leg balance,Main workout
