,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value
94,Plyometric Side Plank,40–59,Weight Maintenance,Strength,Core,Bodyweight,Advanced,Ankle pain,3,8–10,7–8,45–60 sec,Develops explosive core strength and lateral stability,"1. Start in a side plank on one forearm with body in a straight line.
2. Lower hips toward the ground then quickly drive hips upward with explosive force.
3. Push the top arm off the ground and clap or tap the floating hip.
4. Return to side plank and repeat before switching sides.",Keep hips level and control each movement with the core engaged,6
95,Single-Leg Landing Drills,40–59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Advanced,Ankle pain,3,4–6,6–8,60–90 sec,Improves single-leg proprioception and lower limb stability,"1. Stand on a box or step on one leg with knee slightly bent.
2. Step off and land on the same leg with knee bent and hips back.
3. Absorb impact and hold balance.
4. Reset and repeat, then switch legs.",Absorb impact through the hips and bend the knee without collapsing inward,5.5
96,Lateral Box Overs,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,8–10,7–8,60–90 sec,Enhances lateral power and agility,"1. Stand beside a low box with feet hip-width.
2. Explode laterally onto the box and land softly.
3. Step or jump over to the other side and continue moving laterally.",Land with soft bent knees and keep hips square as you cross the box,6.5
97,360-Degree Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,6–8,8–9,90–120 sec,Improves rotational power and whole-body coordination,"1. Stand with feet shoulder-width and bend knees into a loaded position.
2. Swing arms and explode upward while rotating the body to complete a 360-degree turn.
3. Spot the landing and prepare with knees bent.
4. Land softly and absorb force, then reset for the next jump.",Control rotation through the hips and land softly with knees bent,7
98,One-Legged Sprints,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Ankle pain,3,6–8,8–9,90–120 sec,Develops unilateral sprint power and running efficiency,"1. Stand on one leg in an athletic stance with slight knee bend.
2. Drive the opposite knee up and sprint in place as fast as possible while balancing.
3. Continue short bursts and switch legs after a set.",Maintain an upright torso and quick controlled leg turnover,7.5
99,High Box Step-Downs,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Intermediate,Ankle pain,3,8–12,6–7,60–90 sec,Builds eccentric control and lower limb stability,"1. Stand on a high box or platform with one foot near the edge.
2. Step forward with the other foot and slowly lower the heel toward the floor.
3. Control the descent using the standing leg and keep the knee aligned over the foot.
4. Tap the floor with the toes, then step back up and repeat.",Slowly lower yourself with a braced core and avoid letting the knee cave inward,4.5
100,Speed Skater Hops (High Velocity),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,8–10,7–9,60–90 sec,Increases lateral explosiveness and reactive agility,"1. Stand on one leg with a slight knee bend and arms ready for balance.
2. Push off laterally with force and land on the opposite leg with the free leg reaching behind.
3. Immediately explode back to the other side with quick, low ground contact.",Control lateral range and keep knees soft on every landing,7
1,Single-Leg Stand (No Support),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Instability / Recurrent Sprains,3,20–30,6–7,30–45 sec,Enhances single-leg balance and ankle stability,"1. Stand tall on both feet and lift one foot off the ground.
2. Hold your arms out for balance and focus on a fixed point.
3. Keep your standing leg slightly bent and lower the lifted foot slowly.",Keep core braced and standing knee soft,2.5
2,Walking on Grass/Sand,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Intermediate,Ankle Instability / Recurrent Sprains,1,20–30,6–8,60–90 sec,Builds lower limb strength and sensory feedback from uneven surfaces,"1. Step forward onto grass or sand with a natural stride.
2. Push off through the toes on each step for steady propulsion.
3. Keep your posture tall and swing your arms naturally.","Walk with upright posture, short strides, and steady breathing",4.5
3,Side-to-Side Shuffles (Slow),60+,Weight Maintenance,Cardio,Lower,Bodyweight,Intermediate,Ankle Instability / Recurrent Sprains,3,20–30,6–7,30–45 sec,Improves lateral agility and hip abductor control,"1. Stand with knees slightly bent and feet hip-width apart.
2. Shuffle slowly to the right by stepping right, bringing left foot to meet it.
3. Reverse the movement to the left and maintain a low, controlled stance.","Keep chest up, hips low, and move with controlled steps",4
4,Standing Heel-to-Toe (Tandem),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Instability / Recurrent Sprains,3,30–60,6–7,30–45 sec,Challenges dynamic balance and foot placement precision,"1. Place one foot directly in front of the other so the heel touches the toe.
2. Take a slow step forward maintaining the heel-to-toe contact.
3. Keep your gaze forward and repeat with steady, controlled steps.",Place heel to toe deliberately and keep gaze forward,2
5,Standing Quad Stretch (Unassisted),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Instability / Recurrent Sprains,2,20–30,6–7,30–45 sec,Increases quadriceps flexibility and front thigh mobility,"1. Stand tall and bend one knee to reach back and grasp your ankle.
2. Pull your heel toward your glute while keeping knees close together.
3. Keep your chest up and hold the stretch.
4. Release and repeat on the opposite leg.","Stand tall, pull heel toward glute without arching the lower back",2
6,Gentle Skipping,All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Ankle Instability / Recurrent Sprains,3,60–90,7–8,45–60 sec,Elevates heart rate while promoting coordination and rhythm,"1. Begin with small, gentle hops alternating legs.
2. Swing the opposite arm with each hop to maintain rhythm.
3. Land softly on the balls of your feet and keep the movement light.",Land softly with knees slightly bent and maintain even breathing,6
7,Side Leg Raises (Standing),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Instability / Recurrent Sprains,3,10–15,6–7,30–45 sec,Strengthens hip abductors and supports lateral stability,"1. Stand tall and shift your weight onto one leg.
2. Lift the other leg straight out to the side to hip height.
3. Lower the leg slowly with control and repeat on the other side.",Keep torso upright and lift the leg with glute control,2.5
8,High Knee March (Fast),60+,Weight loss,Cardio,Full,Bodyweight,Intermediate,Ankle Instability / Recurrent Sprains,3,30–60,7–8,45–60 sec,Enhances cardiovascular fitness and hip flexor activation,"1. March in place rapidly while driving each knee up toward hip level.
2. Pump your arms vigorously to match your leg tempo.
3. Land each foot softly and maintain a quick, steady rhythm.",Drive knees up with upright posture and quick controlled steps,5.5
9,Standing Torso Twists (Rapid),All Ages,Weight Maintenance,Mobility,Core,Bodyweight,Intermediate,Ankle Instability / Recurrent Sprains,3,20–30,7–8,30–45 sec,Improves spinal mobility and rotational coordination,"1. Stand with feet hip-width and bend elbows across your chest.
2. Twist your torso quickly to the right, then to the left using your core.
3. Keep your hips square and maintain a rapid, controlled pace.",Rotate from the ribcage with a braced core and controlled speed,4
10,Grapevine Walk (Crossover),60+,Weight Maintenance,Mobility,Lower,Bodyweight,Intermediate,Ankle Instability / Recurrent Sprains,3,20–30,6–7,30–45 sec,Develops coordination and rhythmic footwork for movement fluidity,"1. Step to the right with your right foot.
2. Cross your left foot behind the right and step right again.
3. Cross your left foot in front of the right and continue the pattern.
4. Reverse the sequence to the left and keep a smooth, rhythmic pace.","Stay tall, cross step smoothly, and keep hips level",4.5
11,Step-Ups (Narrow Base),60+,Weight gain,Strength,Lower,Bodyweight,Intermediate,Ankle Instability / Recurrent Sprains,3,8–12,7–8,60–90 sec,Improves single leg strength and balance during functional movements,"1. Stand facing a step with feet together and core engaged.
2. Step up with the leading foot keeping the trailing foot close behind.
3. Push through the front heel to lift your body fully onto the step.
4. Lower the trailing foot back to the floor with control and repeat.",Keep torso upright and drive through the heel of the stepping foot,5
12,Standing Calf Raises,60+,Weight gain,Strength,Lower,Bodyweight,Beginner,Ankle Instability / Recurrent Sprains,3,12–15,6–8,30–60 sec,Strengthens calf muscles and improves ankle plantarflexion power,"1. Stand tall with feet hip-width and weight evenly distributed.
2. Raise both heels off the ground to stand on the balls of your feet and squeeze calves.
3. Lower the heels slowly back to the floor with control.",Rise smoothly and lower under control without bouncing,3
13,Walking on Toes,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Instability / Recurrent Sprains,3,20–30,6–7,30–45 sec,Enhances calf endurance and forefoot strength while challenging balance,"1. Stand tall and lift onto the balls of your feet.
2. Take small, controlled steps forward while staying on your toes.
3. Keep your torso upright and maintain a steady rhythm.",Keep knees soft and land gently on the balls of the feet,3.5
14,Walking on Heels,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Instability / Recurrent Sprains,3,20–30,6–7,30–45 sec,Strengthens shin dorsiflexors and promotes ankle dorsiflexion control,"1. Stand tall and shift weight onto your heels with toes lifted.
2. Take short, controlled steps forward while keeping toes off the ground.
3. Maintain an upright posture and steady pace.",Maintain upright posture and take controlled short steps on the heels,3
15,Deep Bodyweight Squat,All Ages,Weight Maintenance,Strength,Lower,Bodyweight,Intermediate,Ankle Instability / Recurrent Sprains,3,10–15,7–8,60–90 sec,Improves hip and knee mobility while building lower body strength,"1. Stand with feet shoulder-width to slightly wider and toes slightly turned out.
2. Push hips back and bend knees to lower into a deep squat until thighs go below parallel.
3. Keep chest up and knees tracking over toes.
4. Drive through the heels to return to a standing position.",Sit back into the hips with chest lifted and knees tracking over toes,4.5
