Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for
Child’s Pose,All Ages,Weight Maintenance,Flexibility / Stretching,Full,Bodyweight,Beginner,Ankle Pain,2,30–60,6–7,15–30 sec,Encourages spinal flexion and promotes relaxation of the back muscles,"1. Kneel on the mat with big toes touching and knees hip-width apart.
2. Sit back toward your heels and lower your torso over your thighs.
3. Extend your arms forward and rest your forehead on the mat.
4. Relax into the position and hold.",Reach hips back toward heels and breathe deeply while keeping the spine long,4,None
Superman Hold,40-59,Weight Gain,Strength,Full,Bodyweight,Beginner,Ankle Pain,3,8–12,7–8,30–60 sec,Strengthens posterior chain muscles and enhances back extensor endurance,"1. Lie face down with arms extended overhead and legs straight.
2. Lift your chest, arms, and legs a few inches off the floor while keeping neck neutral.
3. Hold the lift briefly and then lower back down with control.",Lift chest and legs slightly while keeping the neck neutral and core engaged,3,"Hypertension, Coronary Artery Disease"
Seated Ankle Alphabet,60+,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Ankle Pain,3,8–12,6–7,10–20 sec,Improves ankle mobility and proprioceptive awareness through controlled movements,"1. Sit tall and lift one foot a few inches off the floor while keeping the leg still.
2. Use your big toe to trace the letters of the alphabet slowly in the air.
3. Lower the foot and repeat the alphabet with the other ankle.",Stabilize the thigh and trace the alphabet with the ankle using slow steady breaths,4,None
Russian Twists (Feet Down),All Ages,Weight Loss,Strength,Core,Bodyweight,Beginner,Ankle Pain,3,12–20,6–8,30–60 sec,Enhances rotational core strength and trunk stability,"1. Sit on the floor with knees bent and feet flat.
2. Lean back slightly and clasp your hands in front of your chest.
3. Rotate your torso to touch the floor beside one hip.
4. Rotate to the opposite side and repeat.","Keep core braced and rotate through the upper torso, not by swinging the arms",3.5,"Osteoporosis, Chronic Low Back Pain"
Butterfly Stretch (Seated),40-59,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Ankle Pain,2,1–2,6–7,15–30 sec,Improves inner thigh flexibility and hip mobility,"1. Sit tall and press the soles of your feet together.
2. Hold your feet and draw your heels toward your groin.
3. Hinge forward from the hips and lower your chest toward your feet.",Maintain controlled movement and proper alignment throughout,4,None
Tricep Dips (Floor/Chair),60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Ankle Pain,3,8–12,7–8,60–90 sec,Builds triceps and shoulder strength for upper body pushing movements,"1. Sit on a chair or the floor with hands beside your hips and fingers forward.
2. Slide your hips off the edge and extend your legs as desired.
3. Bend your elbows to lower your hips toward the floor.
4. Push through your palms to straighten your arms and lift your hips.","Keep shoulders down and back, lowering with controlled range of motion",3.8,None
Seated Arm Scissor,All Ages,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Ankle Pain,2,10–20,6–7,15–30 sec,Improves shoulder mobility and scapular coordination,"1. Sit tall with arms extended straight in front at chest height.
2. Cross one arm over the other in a controlled motion.
3. Open the arms back out and alternate which arm crosses on each rep.","Sit tall, draw shoulder blades down and move the arms with control",2.8,None
Quadruped Hip Extension,40-59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Pain,3,10–15,6–8,30–60 sec,Activates glutes and enhances hip extension strength and pelvic stability,"1. Start on hands and knees with a neutral spine.
2. Brace your core and bend one knee to 90 degrees.
3. Drive your heel up toward the ceiling by extending the hip.
4. Lower the knee back toward the starting position with control.",Maintain controlled movement and proper alignment throughout,3,None
Standing Trunk Rotation,60+,Weight Loss,Mobility,Core,Bodyweight,Beginner,Ankle Pain,2,10–15,6–7,15–30 sec,Improves trunk rotational mobility and control,"1. Stand with feet hip-width apart and hands on your hips or across your chest.
2. Rotate your torso to one side while keeping your hips facing forward.
3. Rotate back through center and repeat to the opposite side.","Keep hips facing forward, soften the knees and rotate from the thoracic spine",4,None
Push-Up to Child Pose,All Ages,Weight Gain,Mobility,Full,Bodyweight,Beginner,Ankle Pain,3,8–12,6–8,45–60 sec,Combines upper body strength work with thoracic mobility and core engagement,"1. Begin in a high plank with hands beneath your shoulders.
2. Bend your elbows and lower your chest toward the floor into a push-up.
3. Press back through your hands and lift your hips to sit back into child pose.
4. Return hands to the floor and come back into plank to repeat.","Maintain a neutral spine and move with control, breathing as you transition into child pose",3.5,None
Straight Leg Raise (Lying),40-59,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Ankle Pain,3,10–15,6–8,30–60 sec,Strengthens hip flexors and improves lower abdominal control,"1. Lie on your back with one leg straight and the other bent with foot flat.
2. Keep the straight leg active and point the toes upward.
3. Lift the straight leg to about hip level with control.
4. Lower the leg slowly back to the starting position.",Maintain controlled movement and proper alignment throughout,2,None
Seated Cat-Cow,60+,Weight Loss,Flexibility / Stretching,Core,Bodyweight,Beginner,Ankle Pain,2,8–12,6–7,15–30 sec,Enhances spinal mobility and promotes posture awareness,"1. Sit tall with hands on your knees and feet flat on the floor.
2. Inhale and arch your spine, lift your chest, and look slightly upward.
3. Exhale and round your spine, tuck your chin, and draw your belly in.",Articulate the spine slowly and coordinate each flexion and extension with your breath,4,None
T-Spine Rotation (Kneeling),All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Ankle Pain,2,8–12,6–7,15–30 sec,Increases thoracic rotation mobility and improves upper back movement,"1. Kneel on hands and knees with a neutral spine.
2. Place one hand behind your head and keep the elbow wide.
3. Rotate your chest toward the ceiling, opening the thoracic spine.
4. Return the elbow toward the floor and switch sides after the set.",Keep hips stable and rotate through the thoracic spine while keeping the neck aligned,2.2,None
Incline Mountain Climbers (Slow),40-59,Weight Loss,Cardio,Full,Bodyweight,Beginner,Ankle Pain,3,12–20,6–8,45–60 sec,Enhances core and shoulder endurance while promoting coordinated lower body movement,"1. Place hands shoulder-width on an elevated surface and step back into a straight plank.
2. Slowly draw one knee toward your chest while keeping hips level.
3. Return that foot to the starting plank and draw the opposite knee forward.
4. Move deliberately and keep the spine neutral throughout.",Keep core braced and hips level while driving knees slowly toward chest,5,"Hypertension, Coronary Artery Disease, COPD, Metabolic Syndrome, Hyperthyroidism"
Bear Hug Stretch,60+,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Ankle Pain,2,20–30,6–7,30–60 sec,Increases thoracic mobility and chest flexibility,"1. Stand tall and wrap both arms around your torso as if hugging yourself.
2. Pull your shoulders forward and hold the gentle stretch across the chest.
3. Release and repeat as needed.",Relax shoulders down away from the ears and breathe deeply into the ribcage,2,None
"Static Lunge (Supported, Shallow)",All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Pain,3,8–12,6–7,60–90 sec,Improves single leg stability and balance with minimal joint stress,"1. Stand with one hand lightly on a stable support and step one foot back into a shallow lunge.
2. Bend both knees slightly so the front knee stays over the ankle.
3. Keep your torso upright and hips square to the front.
4. Hold the position and then switch legs if desired.",Maintain controlled movement and proper alignment throughout,3,"Hypertension, Coronary Artery Disease"
Reverse Crunch,40-59,Weight Maintenance,Strength,Core,Bodyweight,Beginner,Ankle Pain,3,12–15,7–8,45–60 sec,Strengthens lower abdominal muscles and hip flexor control,"1. Lie on your back with hands by your sides and knees bent over hips.
2. Exhale and curl your hips upward, lifting your tailbone off the floor.
3. Pause at the top while keeping abs engaged.
4. Lower your hips and return to the start with control.",Use slow controlled movement and tuck the pelvis to lift with the lower abs,3,None
Tandem Stance (Wall Support),60+,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,20–30,6–7,30–60 sec,Enhances standing balance and proprioception using external support,"1. Stand beside a wall and place one hand lightly on it for balance.
2. Place one foot directly in front of the other so the heel touches the toe of the back foot.
3. Hold the straight posture and shift weight slowly onto the front foot.",Maintain controlled movement and proper alignment throughout,4,None
Wall Push-Ups,All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10–15,6–8,45–60 sec,Builds upper body strength and improves scapular stability,"1. Stand facing a wall and place hands shoulder-width on the wall at chest height.
2. Step back so your body forms a straight line from head to heels.
3. Bend your elbows to bring your chest toward the wall.
4. Push back to the starting position with control.",Maintain controlled movement and proper alignment throughout,4,None
Seated Boxing,40-59,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,30–60,7–8,30–60 sec,Boosts upper body endurance and improves coordination and rhythm,"1. Sit upright on a chair with feet flat and hands at chin level.
2. Punch one arm forward in a controlled motion while retracting the other hand.
3. Alternate punches at a steady tempo.
4. Keep a light tension in the core and maintain an upright posture.",Sit tall with a braced core and rotate from the torso when punching,5,None
Knee-to-Wall Ankle Mobilization,All Ages,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,6–7,30–60 sec,Increases ankle dorsiflexion range and supports functional movement patterns,"1. Stand facing a wall and place your foot a few inches from the base with heel on the floor.
2. Keep the heel down and bend your knee forward toward the wall.
3. Touch the knee to the wall or move as far as mobility allows without lifting the heel.
4. Return the knee to the start and repeat for the other side.",Drive the knee toward the wall while keeping the heel down and the foot planted,2.3,None
Glute Bridges (Two Legs),40-59,Weight Loss,Strength,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,12–15,7–8,60–90 sec,Activates glute muscles and promotes hip extension strength and pelvic stability,"1. Lie on your back with knees bent and feet flat hip-width apart.
2. Press through your heels and lift your hips until your body forms a straight line from shoulders to knees.
3. Squeeze your glutes at the top and avoid overextending the lower back.
4. Lower your hips slowly back to the ground.","Press through the heels, lift by squeezing the glutes, and avoid overextending the lower back",4,None
