Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Tags
Supine Leg Cycles,40-59,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,10–15,6–7,30–60 sec,Enhances core activation and hip mobility,"1. Lie on your back with knees bent and feet lifted off the floor.
2. Extend one leg straight while keeping the other knee bent.
3. Alternate legs in a slow circular pedaling motion.
4. Keep your lower back resting gently on the floor throughout.",Keep low back pressed into the mat while moving legs slowly,3,,
Standing Hip Abduction (Supported),60+,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,12–15,6–8,45–60 sec,Strengthens hip abductors and improves lateral pelvic stability,"1. Stand tall with one hand on a chair or wall for support.
2. Keep the standing leg slightly bent and lift the other leg straight out to the side.
3. Lower the lifted leg with control and repeat for the other side.",Stand tall and lift your leg slowly without leaning your torso,2,,
Seated Jacks,60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,20–30,7–8,30–60 sec,Boosts light cardiovascular activity and shoulder mobility,"1. Sit near the edge of a chair with feet together and hands at your sides.
2. Open your legs outward while bringing your arms out and slightly overhead.
3. Return your arms and legs to the starting position with control and repeat.",Maintain controlled movement and proper alignment throughout,2.8,,
Incline Push-Ups (Table/Counter),40-59,Weight Loss,Strength,Upper,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,8–15,7–8,60–90 sec,Develops upper body strength with reduced shoulder strain,"1. Stand facing a sturdy table or counter and place your hands shoulder-width apart on the edge.
2. Walk your feet back so your body forms a straight line from head to heels.
3. Bend your elbows and lower your chest toward the surface in a controlled motion.
4. Push back up to the starting position and repeat.",Maintain controlled movement and proper alignment throughout,4.5,,
Ankle Circles (Seated),All Ages,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),2,10–15,6–7,30–45 sec,Improves ankle range of motion and promotes local circulation,"1. Sit tall at the edge of the chair with feet flat on the floor.
2. Lift one foot a few inches off the floor and point toes.
3. Rotate the ankle slowly clockwise in smooth circles.
4. Reverse the rotation and repeat in the opposite direction.",Rotate the ankle slowly with control while keeping the thigh supported,4,,
Flutter Kicks (Prone),60+,Weight Loss,Strength,Core,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,20–30,7–8,60–90 sec,Strengthens lower abdominal muscles and improves core endurance,"1. Lie face down with forehead resting on folded hands.
2. Lift both legs a few inches off the floor and keep them straight.
3. Alternate quick, small kicks with each leg while maintaining height.
4. Keep the hips pressed to the floor and breathe steadily.",Maintain controlled movement and proper alignment throughout,4,,
Seated Butterfly Stretch,40-59,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),2,20–30,6–7,30–45 sec,Increases inner thigh flexibility and improves hip mobility,"1. Sit tall and bring the soles of the feet together.
2. Hold the feet with both hands and open the knees outward.
3. Gently lean forward from the hips with a straight back to deepen the stretch.",Sit tall with a neutral spine and lower the knees gently while breathing steadily,4,,Cooldown
Shadow Boxing (Seated),40-59,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,45–60,6–8,30–60 sec,Boosts cardiovascular activity while improving upper body coordination,"1. Sit upright with feet flat and hands in front as if guarding.
2. Rotate the torso and extend a controlled jab with one arm.
3. Follow with a cross from the other arm while keeping hands up.
4. Maintain a steady rhythm and relax the shoulders between punches.","Sit tall, brace your core, and rotate through the torso with controlled punches",3,,
Scapular Retractions (Seated),All Ages,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,12–15,6–7,30–60 sec,Improves shoulder blade stability and contributes to better posture,"1. Sit tall with arms relaxed at your sides.
2. Pull the shoulder blades together and down toward the spine.
3. Release the shoulders to a neutral position with control.",Retract shoulder blades back and down without shrugging while keeping the neck relaxed,2.3,,
Kneeling Hip Flexor Stretch,60+,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),2,20–30,6–7,30–45 sec,Lengthens hip flexors and reduces anterior hip tightness,"1. Kneel with one knee on the floor and the other foot planted forward.
2. Tuck the pelvis and shift the hips forward until you feel a stretch in the front of the hip.
3. Keep the torso upright and squeeze the glutes of the trailing leg.
4. Hold the stretch and then switch to the other side.",Maintain controlled movement and proper alignment throughout,4,,Cooldown
Tree Pose (Wall Support),40-59,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,20–30,6–7,45–60 sec,Enhances single leg balance and promotes ankle stability,"1. Stand facing a wall and place one hand lightly on it for support.
2. Shift weight onto one foot and place the opposite foot on the inner calf or thigh.
3. Press the palms together at chest level and lift the chest, then switch sides.",Maintain controlled movement and proper alignment throughout,4,"Hypertension, Coronary Artery Disease",
Reverse Crunches,All Ages,Weight Gain,Strength,Core,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,12–15,7–8,60–90 sec,Targets lower abdominal muscles and improves core strength,"1. Lie on your back with knees bent and feet flat on the floor.
2. Curl the knees toward the chest by lifting the hips off the floor.
3. Lower the hips and legs back down with control.
4. Keep the core engaged and avoid using momentum.",Curl the pelvis upward using the lower abs and perform each rep slowly and controlled,4,,
Toe Curls (Towel Grab),60+,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,12–15,6–7,30–45 sec,Strengthens intrinsic foot muscles and improves foot stability,"1. Sit in a chair with a towel laid flat under one foot.
2. Curl your toes to grab and pull the towel toward you.
3. Release the towel and repeat or switch feet.",Keep ankle stable and curl toes slowly with control,4,,
Forearm Plank (Knees),40-59,Weight Loss,Strength,Core,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,20–30,7–8,60–90 sec,Enhances core stability and postural endurance,"1. Begin kneeling and place forearms on the floor under your shoulders.
2. Lift hips so your body forms a straight line from head to knees.
3. Engage your core and keep your neck neutral.
4. Hold the position and breathe steadily.",Maintain a straight line from head to knees and brace the core,2.5,"Hypertension, Coronary Artery Disease",
Lateral Arm Raises (No Weight),60+,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,12–15,6–7,30–45 sec,Promotes shoulder mobility and activates shoulder stabilizing muscles,"1. Stand tall with feet shoulder-width and arms at your sides.
2. Lift both arms out to the sides to shoulder height with palms facing down.
3. Keep a slight bend in the elbows and a tall posture.
4. Lower the arms slowly back to your sides.",Keep shoulders down and raise arms slowly to shoulder height,2.2,,
Chair Squats,60+,Weight Gain,Strength,Lower,Bodyweight,Beginner,Limited single-leg balance,3,10–15,7–8,60–90 sec,Improves functional lower body strength and balance,"1. Stand in front of a chair with feet hip-width and arms forward.
2. Sit hips back and bend knees until your glutes lightly touch the chair.
3. Keep weight in the heels and chest lifted.
4. Press through the heels to stand back up.","Push hips back, keep chest up and control the descent without letting knees pass toes",3.5,,
Step Touches (Wall Support),60+,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Limited single-leg balance,3,30–60,6–7,30–45 sec,Improves lateral coordination and promotes gentle cardiovascular activity,"1. Stand upright beside a wall with feet together and place one hand lightly on the wall.
2. Step sideways with one foot and shift your weight onto that foot.
3. Bring the other foot to meet the stepping foot and tap the floor.
4. Repeat the step-touch in the opposite direction while keeping light contact with the wall.",Keep spine tall and core braced while stepping with controlled movements,2.5,,
Single Leg Stance (Chair Support),All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Limited single-leg balance,3,20–30,6–7,30–45 sec,Enhances single leg balance and proprioception,"1. Stand behind a sturdy chair and hold the backrest with both hands.
2. Shift your weight onto one leg and lift the other foot a few inches off the floor.
3. Hold your balance for the desired time while keeping the standing leg slightly bent.",Keep hips level and weight centered over the standing foot,4,"Hypertension, Coronary Artery Disease",
Thoracic Rotation (Seated),60+,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,Limited single-leg balance,3,8–12,6–7,15–30 sec,Improves spinal mobility and reduces upper back stiffness,"1. Sit tall on a chair with feet flat and hands behind your head.
2. Rotate your upper torso to one side using your thoracic spine while keeping hips facing forward.
3. Hold the rotated position briefly while breathing steadily.
4. Return to center and perform the rotation to the other side.",Sit tall and rotate from the upper back while keeping the core engaged,2.2,,
Wall Calf Stretch,All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Limited single-leg balance,2,20–30,6–7,15–30 sec,Enhances calf flexibility and ankle range of motion,"1. Stand facing a wall and place both hands on the wall at shoulder height.
2. Step one foot back keeping that heel flat and the back leg straight.
3. Lean forward into the wall until you feel a stretch in the back calf.
4. Switch legs and repeat the stretch on the other side.",Keep front knee slightly bent and press the back heel into the floor,4,,Cooldown
